Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
f26d67e5-d215-448f-b04d-9b7a723fd9e6,"2020-05-22, 04:50:59 PM",Zane,PutMetricAlarm,CloudWatch Alarm,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""AWS Billing Alarm""}]",,us-east-1,,108.18.124.146
38de64bb-fead-4f37-b7d0-fbe49f64217e,"2020-05-22, 04:50:17 PM",Zane,PutMetricAlarm,CloudWatch Alarm,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""AWS Billing Alarm""}]",,us-east-1,,108.18.124.146
91901891-82fe-46c5-b762-0cde41f82918,"2020-05-22, 04:40:03 PM",Zane,PutMetricAlarm,CloudWatch Alarm,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""AWS Billing Alarm""}]",,us-east-1,,108.18.124.146
0039bad7-d1ae-48ee-b390-160edf877b54,"2020-05-22, 04:37:22 PM",Zane,ConsoleLogin,,,,us-east-1,,108.18.124.146
8c14df4a-f62f-45f0-a854-eb2be7fac8e9,"2020-05-22, 04:36:54 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,108.18.124.146
95d76748-2b51-4272-8f61-97ece3738e1c,"2020-05-22, 04:35:01 PM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
816f3718-5177-49da-abde-a0be9ad1f1f4,"2020-05-22, 04:34:39 PM",Accountant,ConsoleLogin,,,,us-east-1,,108.18.124.146
8052682a-727a-4d0f-a488-f187caa4f9d6,"2020-05-22, 04:28:08 PM",CloudTrail,StopLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:213799954757:trail/Udacity_Trail""}]",,us-east-1,,108.18.124.146
11c4f384-e0df-49b1-a388-c0164c26d57a,"2020-05-22, 04:18:38 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:213799954757:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacityexercisetwologs""}]",,us-east-1,,108.18.124.146
cf766341-23b9-48fe-a054-3a6dc37d01dc,"2020-05-22, 04:18:38 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,108.18.124.146
d4a50c55-ac3e-4cb4-95fd-a34c5f872714,"2020-05-22, 04:18:38 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:213799954757:trail/Udacity_Trail""}]",,us-east-1,,108.18.124.146
1da9a819-fada-49b0-9561-c4fb0e8966ca,"2020-05-22, 04:18:37 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacityexercisetwologs""}]",,us-east-1,,108.18.124.146
